"ntTitle","ntDec","result","tDec","tTitle"
"Systematic review of clinical studies regarding clinical effectiveness of combination therapy with ramipril plus hydrochlorothiazide compared to monotherapy with ramipril and hydrochlorothiazide or combination therapy with captopril plus hydrochlorothiazide as treatment options in essential arterial hypertension","Include","",,
"Team-based care to improve blood pressure control: A community guide systematic review","Include","",,
"A systematic review on health education among pre-hypertensive and stage-1 hypertensive Chinese subjects: Could we reduce cardiovascular risk factors?","Include","",,
"Effectiveness of lifestyle interventions in reducing cardiovascular risk factors among Chinese subjects in primary care setting: A systematic review","Include","",,
"Outcome measures of Chinese herbal medicine for hypertension: An overview of systematic reviews","Include","",,
"Yoga for Essential Hypertension: A Systematic Review","Include","",,
"The antihypertensive efficacy and tolerability of benazepril in Chinese: A meta-analysis of randomized controlled trials","Include","",,
"The effect of antihypertensive treatment on headache and blood pressure variability in randomized controlled trials: A systematic review","Include","",,
"Blood pressure lowering efficacy of beta blockers for primary hypertension","Include","",,
"Blood pressure lowering efficacy of partial agonist beta blockers for primary hypertension","Include","",,
"Antihypertensive drugs for mild hypertension","Include","",,
"Effectiveness and safety of indapamide versus CCBs for hypertension: A systematic review","Include","",,
"Ginkgo biloba extract for essential hypertension: A systemic review","Include","",,
"Meta-analysis of the effect of garlic on blood pressure","Include","",,
"Effectiveness of stimulation of acupoint KI 1 by artemisia vulgaris (Moxa) for the treatment of essential hypertension: A systematic review of randomized controlled trials","Include","",,
"Meta analysis of the effects of calcium channel blockers versus renin-angiotensin system blockers on arterial stiffness in hypertension","Include","",,
"A systematic review and meta-analysis of telmisartan versus valsartan in the management of essential hypertension","Include","",,
"Long‐term effects of weight‐reducing drugs in hypertensive patients","Include","",,
"Blood pressure lowering efficacy of potassium‐sparing diuretics (that block the epithelial sodium channel) for primary hypertension","Include","",,
"The effects of statins on blood pressure in normotensive or hypertensive subjects--a meta-analysis of randomized controlled trials","Include","",,
"Blood pressure lowering efficacy of beta‐blockers as second‐line therapy for primary hypertension","Include","",,
"Chiropractic spinal manipulation as a treatment of hypertension? A systematic review of randomised clinical trials","Include","",,
"Effect of longer‐term modest salt reduction on blood pressure","Include","",,
"Blood pressure lowering efficacy of nonselective beta‐blockers for primary hypertension","Include","",,
"Blood pressure lowering efficacy of diuretics as second‐line therapy for primary hypertension","Include","",,
"Atenolol vs nonatenolol β-blockers for the treatment of hypertension: a meta-analysis","Include","",,
"Telmisartan plus amlodipine single-pill combination for the management of hypertensive patients with a metabolic risk profile (added-risk patients)","Include","",,
"Effects of Massage on Blood Pressure in Patients With Hypertension and Prehypertension: A Meta-analysis of Randomized Controlled Trials","Include","",,
"Effectiveness of interventions for hypertension care in the community - a meta-analysis of controlled studies in China","Include","",,
"Antihypertensive efficacy of hydrochlorothiazide as evaluated by ambulatory blood pressure monitoring a meta-analysis of randomized trials","Include","",,
"Nicardipine for the treatment of severe hypertension in pregnancy: a review of the literature","Include","",,
"Clinical effects of home telemonitoring in the context of diabetes, asthma, heart failure and hypertension: a systematic review","Include","",,
"A Systematic Review and Metaanalysis on the Effects of Garlic Preparations on Blood Pressure in Individuals With Hypertension","Include","",,
"Usefulness of phyto-oestrogens in reduction of blood pressure. Systematic review and meta-analysis","Include","",,
"How can we improve adherence to blood pressure-lowering medication in ambulatory care? Systematic review of randomized controlled trials","Include","",,
"Long‐term effects of weight‐reducing diets in hypertensive patients","Include","",,
"Do statins reduce blood pressure?: a meta-analysis of randomized, controlled trials","Include","",,
"Blood pressure‐lowering efficacy of monotherapy with thiazide diuretics for primary hypertension","Include","",,
"Quality improvement strategies for hypertension management: a systematic review","Include","",,
"Songling Xuemaikang Capsule (), for primary hypertension: A systematic review of randomized controlled trials","Include","",,
"Antihypertensive efficacy of angiotensin receptor blockers in combination with hydrochlorothiazide: a review of the factorial-design studies","Include","",,
"Complementary/alternative medicine for hypertension: a mini-review","Include","",,
"Aliskiren: renin inhibitor for hypertension management","Include","",,
"Spironolactone management of resistant hypertension","Include","",,
"Does yoga therapy reduce blood pressure in patients with hypertension?: an integrative review","Include","",,
"Reduced dietary salt for prevention of cardiovascular disease","Include","",,
"Azilsartan medoxomil: a new Angiotensin receptor blocker","Include","",,
"Effect of exercise on blood pressure control in hypertensive patients","Include","",,
"Early combination therapy with telmisartan plus amlodipine for rapid achievement of blood pressure goals","Include","",,
"Clinical effectiveness of garlic (Allium sativum)","Include","",,
"Effects of beta-blocker selectivity on blood pressure variability and stroke: a systematic review","Include","",,
"Blood pressure reduction, persistence and costs in the evaluation of antihypertensive drug treatment-a review","Include","",,
"Effects of natural health products on blood pressure","Include","",,
"Combination therapy versus monotherapy in reducing blood pressure: meta-analysis on 11,000 participants from 42 trials","Include","",,
